"game_id","game_date","season","level","play_id","inning","is_top_inning","balls","strikes","outs","pre_runner_1b","pre_runner_2b","pre_runner_3b","home_score","away_score","batter_side","pitcher_side","hit_trajectory","launch_angle","launch_direction","exit_speed","launch_spinaxis","launch_spinrate","bearing","hit_distance","hangtime","fielder_id","fielder_pos","fielder_max_throwspeed","runner_base","runner_id","runner_max_sprintspeed","runner_advance"
"29668637",2024-03-29,2024,"AAA","OTC6B6VEG132VUFQ",4,0,0,0,1,"alCSZSOP","xBiqUm9f",NA,10,0,"R","R","fly_ball",48.2847875885741,-13.4155589630058,98.1616514660988,174.400049911124,4471.39309231466,-18.9521314564878,309.856517189837,6.8153154296875,"y0RrlPxM","LF",87.5,2,"xBiqUm9f",28.7,0
"29668637",2024-03-29,2024,"AAA","KLDPEJSVT9429D84",5,1,2,1,1,"RnsnwDM5","iKuvQZYC","y0RrlPxM",10,0,"R","L","fly_ball",24.6914343147226,-19.1687733783707,93.1574978891446,174.07643321956,1659.75676621346,-21.816969382264,359.671162291693,4.99372961139679,"qsQ43LaL","LF",99,2,"iKuvQZYC",27.9,1
"70804199",2024-03-29,2024,"AAA","IJQESQ5YMSHG8SZK",1,0,2,1,0,NA,"leVkftUO",NA,0,1,"L","R","fly_ball",27.2646233270311,-7.57859860185146,88.4666641275754,158.786641221557,1967.5040131441,-21.2253250007379,296.371600374602,4.9486396484375,"5Hhocirz","LF",96.4,2,"leVkftUO",28.1,0
"70804199",2024-03-29,2024,"AAA","DLMHPDZEQ3H6KE9B",1,0,2,0,1,NA,"leVkftUO",NA,0,1,"R","R","fly_ball",30.3399318922528,26.8034826323052,85.4613515937193,210.918041925252,2423.89355728378,42.6988928046381,281.089624310833,4.6646572265625,"OUfbDMxl","RF",89.6,2,"leVkftUO",28.1,1
"70804199",2024-03-29,2024,"AAA","D7OXEX3I053N2OQB",6,0,3,2,0,NA,"CYoYSIdp",NA,3,3,"R","L","fly_ball",36.5180740031291,14.7314969919271,90.1930846216857,202.695567881997,3085.67678078258,33.6721554444532,285.465577492141,5.52988781452179,"OUfbDMxl","RF",89.6,2,"CYoYSIdp",27.1,1
"70804199",2024-03-29,2024,"AAA","LOGJH5C5CVS4T9R6",8,0,0,0,1,NA,"fePkM7Fc",NA,4,4,"R","R","fly_ball",34.5380800584376,0.240057521389781,97.0199160431344,190.759872902975,2888.17750692853,10.6068830750174,334.758469150547,6.2568056640625,"Wb361vjo","CF",89.4,2,"fePkM7Fc",27.1,0
"01993383",2024-03-29,2024,"AAA","FWYMY0YWJJVGFILK",5,1,0,1,1,"qHl4VKsx","71jZR1VA",NA,1,5,"R","R","fly_ball",44.9892402304596,24.0297516928251,77.9502722392287,198.296333974674,3405.29608697254,36.6446978208276,240.831254660128,5.3868583984375,"BweySzeU","RF",99.3,2,"71jZR1VA",28.1,0
"01993383",2024-03-29,2024,"AAA","FZZ1SBMI4XKX5SDN",6,0,1,1,1,"VVhAzWYs","DM93xt4A",NA,9,7,"L","L","fly_ball",22.4980091751488,-1.13613465343421,97.5009811652039,158.763106513836,1585.22776024254,-9.91670541878454,351.111086996397,4.6192705078125,"71jZR1VA","CF",94.7,2,"DM93xt4A",30.3,0
"01993383",2024-03-29,2024,"AAA","QW7YEWCHXDAPTOG4",8,0,0,1,1,"BweySzeU","j2SCFDGW",NA,9,7,"L","R","fly_ball",55.9821101190804,-20.8908479800565,90.6387257743601,161.630265244044,5190.00013355361,-38.0754408289279,246.904131882751,6.3570830078125,"aEpHkzmf","LF",96.4,2,"j2SCFDGW",27,0
"41402346",2024-03-29,2024,"AAA","82ZEB1YMZVE9JY17",10,0,2,1,0,"foSBjF5e","Q5ut0Llv",NA,4,4,"L","L","line_drive",18.3564992321383,0.819116477392907,108.380099803604,151.724912246988,1268.47529878997,-7.24864413471946,347.562227018571,4.0048017578125,"IlsbD87Y","CF",100.6,2,"Q5ut0Llv",26.7,0
"60880186",2024-03-29,2024,"AAA","IU4TCXOWYQIE7QY4",2,0,1,0,1,NA,"sjhmY91l",NA,1,0,"R","R","fly_ball",36.4607740007235,-15.8119852856728,74.757455642686,184.99521372325,2363.51816946172,-13.5138412364233,263.156762865298,4.8695009765625,"uUuxAMKd","LF",95,2,"sjhmY91l",28.7,0
"60880186",2024-03-29,2024,"AAA","9AY27MSJ1GZNORNY",5,1,1,0,1,NA,"tLONRSAv",NA,3,1,"R","R","fly_ball",39.5649667515949,-18.1695365010673,82.5345166453955,181.579613073602,2900.43419603899,-17.2413412959478,299.37998392582,5.4983701171875,"XB6r5ZQz","LF",92.2,2,"tLONRSAv",28.1,0
"72968952",2024-03-29,2024,"AAA","9F865PKFGUBNDVYP",8,1,1,1,0,"YKSQJNF3","mgwYdflI",NA,2,3,"R","R","line_drive",29.201595574931,9.44198866849199,80.239820056983,203.996772978891,2020.11711417886,17.8525029833611,297.458925603695,4.4486962890625,"mutbtv30","RF",85.5,2,"mgwYdflI",26.2,0
"12968260",2024-03-29,2024,"AAA","P75KYBACHPGDJFRS",2,0,0,0,0,"nbdhpiyK","tvfDM3iH","J7qLW9bG",0,0,"L","R","line_drive",17.8667867544613,18.1680480233257,93.6813235196056,220.110913537971,1192.37391411331,26.7691740606198,279.214106927178,3.4147880859375,"TAHNcD5V","RF",90.8,2,"tvfDM3iH",26.8,0
